Ticker Symbol,Fund Name
AOA,iShares Core Aggressive Allocation ETF
AOK,iShares Core Conservative Allocation ETF
AOR,iShares Core Growth Allocation ETF
AOM,iShares Core Moderate Allocation ETF
ACWI,iShares MSCI ACWI ETF
EFG,iShares MSCI EAFE Growth ETF
EFV,iShares MSCI EAFE Value ETF
MUB,iShares National Muni Bond ETF
WIP,SPDR® Citi International Government Inflation-Protected Bond ETF
RWO,SPDR® Dow Jones® Global Real Estate ETF
RWX,SPDR® Dow Jones® International Real Estate ETF
TFI,SPDR® Nuveen Bloomberg Barclays Municipal Bond ETF
SHM,SPDR® Nuveen Bloomberg Barclays Short Term Municipal Bond ETF
GXC,SPDR® S&P® China ETF
EWX,SPDR® S&P® Emerging Markets Small Cap ETF
EPI,WisdomTree India Earnings Fund
